edad,genero,zona,tipo_empleo,antiguedad,ingresos,score_crediticio,pagos_previos,creditos_previos,monto_credito,plazo_meses,destino_credito,tipo_garantia,valor_garantia,precio_soya,precio_vino,uso_productos,default_12m
56,F,Urbana,Independiente,26,4085.77,527.0,4,5,132299,24,Agricola,Vehiculo,115829.7,437.18,49.42,1,0
69,M,Rural,Agricola,14,4518.65,705.0,1,6,71483,6,Agricola,Ninguna,60785.7,431.98,52.14,4,0
46,M,Urbana,Dependiente,21,6500.82,703.0,5,5,139549,60,Comercial,Vehiculo,66323.13,397.1,43.11,2,0
32,F,Urbana,Dependiente,7,4415.36,788.0,5,3,18211,12,Consumo,Inmueble,14094.22,418.66,64.19,1,0
60,M,Urbana,Independiente,14,3488.69,643.0,4,9,80430,6,Comercial,Ninguna,93871.44,396.63,46.77,1,0
25,M,Urbana,Dependiente,14,2594.48,637.0,0,2,11217,36,Consumo,Inmueble,8303.3,441.75,47.22,0,0
38,F,Urbana,Independiente,17,5775.97,816.0,5,3,12556,48,Agricola,Ninguna,8432.52,458.41,59.67,1,0
56,F,Urbana,Dependiente,6,1774.65,665.0,2,4,78104,6,Comercial,Ninguna,96714.2,398.87,37.03,4,0
36,M,Urbana,Dependiente,21,3158.53,696.0,2,3,27914,60,Consumo,Vehiculo,41493.0,419.22,59.61,0,0
40,F,Rural,Dependiente,17,5169.73,723.0,0,2,39199,6,Comercial,Inmueble,48419.5,442.94,48.56,1,0
28,F,Urbana,Agricola,15,1449.51,530.0,1,0,4339,60,Comercial,Ninguna,5708.44,420.61,44.82,0,0
28,F,Urbana,Dependiente,1,3517.03,684.0,2,2,85709,24,Agricola,Vehiculo,122341.1,434.04,41.28,1,1
41,F,Urbana,Comerciante,3,4706.67,568.0,0,4,99118,36,Agricola,Ninguna,125099.5,421.29,40.39,3,0
53,M,Urbana,Dependiente,19,3886.66,672.0,0,5,61534,24,Consumo,Inmueble,90850.35,393.58,45.95,4,1
57,M,Urbana,Agricola,15,2927.7,653.0,4,3,93604,48,Agricola,Ninguna,112019.75,422.97,49.67,4,0
41,M,Rural,Comerciante,2,3550.49,634.0,5,0,39316,48,Agricola,Vehiculo,43004.9,448.18,51.73,0,0
20,F,Urbana,Comerciante,23,5807.17,736.0,4,9,88022,60,Agricola,Inmueble,99642.51,427.86,49.6,3,0
39,F,Urbana,Comerciante,29,7430.2,689.0,5,6,57670,36,Comercial,Vehiculo,79590.26,460.59,44.94,0,0
19,F,Urbana,Dependiente,22,4723.18,585.0,1,8,62745,24,Consumo,Inmueble,70249.92,375.71,56.04,0,0
41,F,Urbana,Dependiente,1,1318.74,581.0,1,5,20046,36,Agricola,Inmueble,24324.74,429.48,64.04,2,0
61,F,Urbana,Independiente,2,5408.96,756.0,1,5,148657,24,Comercial,Vehiculo,83130.77,403.8,56.97,0,1
47,F,Urbana,Dependiente,25,3865.79,677.0,0,8,8087,60,Agricola,Vehiculo,11282.82,398.11,45.84,1,0
55,F,Rural,Dependiente,24,2747.32,552.0,0,3,112638,60,Comercial,Ninguna,94239.25,453.36,51.01,2,1
19,M,Urbana,Comerciante,28,3219.56,643.0,4,4,127041,60,Agricola,Inmueble,62666.89,413.62,51.4,2,0
38,M,Urbana,Independiente,4,3287.54,666.0,2,4,42430,12,Agricola,Ninguna,53450.96,411.21,57.62,0,0
50,F,Urbana,Independiente,1,2242.64,569.0,5,4,41711,36,Comercial,Inmueble,30351.91,428.59,45.97,2,0
29,F,Urbana,Comerciante,18,4399.09,623.0,5,7,102660,48,Consumo,Vehiculo,53480.01,366.19,42.21,4,0
39,F,Urbana,Agricola,23,7425.03,763.0,1,0,44543,24,Consumo,Vehiculo,27059.93,453.87,54.8,2,0
61,M,Rural,Agricola,19,2741.29,850.0,5,9,136543,12,Comercial,Ninguna,46689.35,467.61,50.44,2,0
42,M,Urbana,Agricola,29,7375.76,707.0,3,9,28122,48,Agricola,Vehiculo,11494.8,442.88,41.35,1,0
66,F,Urbana,Dependiente,1,4832.99,558.0,1,2,69659,24,Comercial,Ninguna,70435.68,430.3,52.23,4,0
44,F,Urbana,Dependiente,1,4351.36,660.0,5,7,77869,12,Comercial,Ninguna,104302.52,414.59,59.03,2,0
59,M,Urbana,Comerciante,21,3984.86,691.0,4,8,52459,48,Consumo,Ninguna,43973.05,393.12,43.84,1,0
45,M,Urbana,Comerciante,23,3210.17,751.0,5,1,39771,48,Consumo,Ninguna,41810.05,449.85,42.65,4,0
33,M,Urbana,Comerciante,22,4966.96,753.0,0,3,70326,12,Comercial,Vehiculo,89432.15,442.91,48.18,2,0
32,M,Urbana,Independiente,19,5335.17,803.0,4,7,33036,48,Comercial,Vehiculo,24054.26,431.25,52.08,0,1
64,F,Urbana,Comerciante,17,619.77,680.0,4,4,56087,24,Comercial,Ninguna,60864.32,428.34,47.55,2,0
68,M,Rural,Dependiente,24,8568.86,682.0,4,0,133673,24,Comercial,Vehiculo,96313.92,427.51,54.81,4,0
61,M,Urbana,Dependiente,19,1602.42,510.0,3,5,143860,48,Comercial,Inmueble,154111.24,406.85,49.56,2,1
69,F,Urbana,Independiente,24,3664.27,589.0,3,8,144784,6,Agricola,Vehiculo,81242.54,482.53,54.07,4,0
20,M,Urbana,Independiente,20,500.0,557.0,5,8,23303,60,Comercial,Inmueble,34334.82,412.86,43.68,0,1
54,M,Urbana,Dependiente,13,4071.35,604.0,1,0,47515,12,Agricola,Ninguna,18598.0,409.33,40.63,2,0
68,M,Urbana,Dependiente,27,3761.66,576.0,5,3,148076,6,Comercial,Inmueble,134198.23,448.02,45.96,4,1
24,F,Urbana,Dependiente,14,3681.29,582.0,5,0,86698,24,Comercial,Vehiculo,55794.99,419.27,39.92,1,0
38,M,Urbana,Independiente,11,4986.93,778.0,5,6,94773,48,Consumo,Vehiculo,96763.74,419.53,50.46,2,0
26,F,Urbana,Agricola,10,4109.9,507.0,0,2,77025,36,Consumo,Vehiculo,62695.91,455.36,35.9,0,1
56,F,Urbana,Agricola,10,5361.47,662.0,4,1,121551,36,Consumo,Vehiculo,81195.91,436.97,45.28,1,0
35,M,Urbana,Dependiente,29,2520.27,758.0,2,7,83099,60,Agricola,Vehiculo,49863.15,438.24,46.28,2,0
21,M,Rural,Independiente,6,4623.81,653.0,1,8,21349,6,Comercial,Vehiculo,11080.1,384.56,41.72,4,0
42,M,Urbana,Agricola,11,3489.31,799.0,1,6,47059,6,Comercial,Ninguna,58327.52,430.01,46.16,3,0
31,M,Urbana,Independiente,15,3907.46,626.0,4,5,147757,6,Consumo,Vehiculo,83725.02,394.86,48.03,1,0
67,F,Urbana,Dependiente,4,4932.56,838.0,1,9,103023,24,Comercial,Inmueble,126536.09,408.63,55.62,4,1
26,M,Urbana,Independiente,1,3693.11,539.0,4,5,122018,60,Agricola,Vehiculo,107625.53,424.39,41.76,1,0
43,M,Urbana,Comerciante,21,4331.73,800.0,1,8,115742,60,Comercial,Ninguna,44754.38,419.09,50.14,2,0
19,M,Urbana,Dependiente,15,2653.21,600.0,5,4,27009,24,Consumo,Ninguna,13464.83,436.36,51.33,0,0
37,F,Rural,Dependiente,22,6252.82,810.0,0,4,123686,60,Consumo,Ninguna,169633.56,439.27,47.87,0,0
45,M,Urbana,Independiente,29,5665.51,638.0,1,1,111138,48,Comercial,Ninguna,113736.29,441.14,45.01,1,1
64,M,Urbana,Independiente,14,4659.97,779.0,1,5,119871,24,Consumo,Ninguna,62476.74,386.39,41.17,3,0
24,F,Urbana,Dependiente,10,4111.74,795.0,2,5,20678,48,Agricola,Ninguna,23666.34,479.07,59.39,2,0
61,F,Urbana,Dependiente,28,4333.01,628.0,0,5,37623,48,Comercial,Ninguna,48455.19,419.39,48.44,4,0
25,M,Urbana,Dependiente,5,6218.44,772.0,5,3,14369,6,Consumo,Vehiculo,10012.09,450.32,46.11,2,0
64,M,Rural,Comerciante,12,5552.17,677.0,0,6,100028,36,Agricola,Inmueble,96818.53,357.14,60.73,3,0
52,M,Urbana,Agricola,29,6245.35,548.0,0,8,108749,6,Agricola,Inmueble,70919.57,413.37,49.33,4,0
31,M,Rural,Agricola,18,3952.97,726.0,1,0,43256,24,Consumo,Ninguna,17132.58,383.48,63.26,3,0
34,M,Rural,Agricola,9,5273.44,589.0,3,2,79893,12,Comercial,Ninguna,62269.47,398.47,39.5,2,1
53,F,Rural,Dependiente,23,6401.88,621.0,1,9,92006,24,Consumo,Vehiculo,110565.31,421.26,46.58,2,0
67,F,Urbana,Comerciante,18,3018.17,600.0,4,8,85419,36,Agricola,Ninguna,72641.71,411.63,39.78,1,0
57,M,Urbana,Independiente,29,2917.53,714.0,2,4,133401,24,Comercial,Vehiculo,104896.25,452.85,47.27,3,0
21,M,Urbana,Dependiente,4,4940.33,591.0,0,5,93586,36,Comercial,Vehiculo,69179.58,464.22,47.24,0,0
19,F,Urbana,Agricola,24,2524.09,570.0,4,7,130141,12,Consumo,Vehiculo,110710.97,395.83,45.25,3,0
23,M,Urbana,Agricola,26,1594.68,586.0,5,8,32407,12,Comercial,Inmueble,22097.51,407.81,48.32,3,0
59,M,Rural,Agricola,20,6379.43,616.0,4,7,120805,60,Comercial,Inmueble,124987.39,394.22,45.54,4,0
21,M,Urbana,Dependiente,6,6658.24,725.0,3,2,79074,48,Agricola,Inmueble,29753.9,448.9,47.34,4,0
46,M,Urbana,Comerciante,10,2611.97,762.0,0,9,48303,24,Consumo,Ninguna,61290.03,423.98,43.47,1,0
35,M,Urbana,Comerciante,13,2208.82,761.0,1,0,108665,48,Agricola,Inmueble,55180.12,420.81,56.66,0,0
43,F,Urbana,Dependiente,22,3454.9,677.0,0,4,40825,6,Agricola,Vehiculo,43279.96,427.81,41.35,2,0
61,M,Urbana,Dependiente,20,6504.49,675.0,2,6,78167,6,Comercial,Vehiculo,65649.26,412.22,49.27,0,0
51,M,Rural,Dependiente,15,3842.82,663.0,0,1,44327,6,Comercial,Inmueble,54442.08,398.59,40.84,0,0
27,M,Urbana,Comerciante,17,4651.51,720.0,4,0,70830,60,Agricola,Inmueble,91467.59,421.28,42.99,0,0
53,F,Rural,Independiente,20,5019.87,781.0,4,3,43424,6,Agricola,Inmueble,23667.84,413.32,43.63,1,0
31,F,Rural,Dependiente,22,4778.16,666.0,1,2,112674,6,Consumo,Vehiculo,125362.78,428.68,47.21,1,1
48,F,Rural,Dependiente,22,6890.51,728.0,1,3,84650,24,Agricola,Vehiculo,44685.8,379.2,49.05,0,0
65,F,Urbana,Dependiente,3,3348.17,568.0,1,0,61638,48,Agricola,Vehiculo,27663.01,424.66,41.36,2,1
32,M,Rural,Agricola,0,4336.47,757.0,5,1,120309,48,Agricola,Inmueble,170400.29,402.77,45.52,2,0
25,F,Urbana,Independiente,21,4871.88,699.0,2,0,115952,36,Consumo,Vehiculo,57659.09,423.78,42.05,2,0
31,M,Urbana,Comerciante,28,4421.61,587.0,5,2,114670,6,Agricola,Vehiculo,65792.87,442.63,41.79,1,0
40,M,Urbana,Agricola,14,2549.44,776.0,5,3,84949,12,Consumo,Vehiculo,38769.77,406.09,54.8,4,1
57,F,Urbana,Agricola,13,2143.94,568.0,5,0,59587,36,Consumo,Ninguna,51504.04,449.92,39.65,2,0
38,F,Urbana,Dependiente,18,2110.44,475.0,0,5,135838,36,Comercial,Inmueble,190652.54,376.48,48.45,4,1
33,F,Urbana,Dependiente,26,5662.01,756.0,3,1,40824,24,Comercial,Ninguna,25182.97,458.6,58.19,0,0
62,F,Urbana,Independiente,4,3187.36,715.0,0,9,27056,36,Comercial,Vehiculo,25709.22,450.96,55.24,2,0
35,F,Rural,Dependiente,3,5250.84,571.0,1,4,9299,12,Consumo,Inmueble,7381.09,397.84,50.55,0,0
64,M,Urbana,Dependiente,12,4638.79,712.0,2,7,37331,48,Consumo,Vehiculo,26251.58,398.04,47.9,0,0
41,F,Urbana,Comerciante,17,2940.23,785.0,5,3,128611,36,Consumo,Inmueble,126885.46,382.63,52.42,3,0
43,F,Urbana,Independiente,11,2980.16,704.0,0,4,139921,24,Comercial,Inmueble,135817.32,443.03,50.22,0,0
42,F,Urbana,Dependiente,22,4714.42,850.0,4,8,145843,6,Comercial,Ninguna,106646.22,411.74,56.54,0,1
62,M,Rural,Dependiente,29,4624.3,603.0,5,1,30604,12,Agricola,Vehiculo,40417.97,409.91,47.2,1,0
58,F,Urbana,Dependiente,20,5287.25,479.0,0,1,138107,6,Comercial,Vehiculo,50244.23,391.93,54.01,0,1
46,M,Urbana,Comerciante,14,3767.99,553.0,4,5,74495,60,Comercial,Vehiculo,29968.3,465.3,46.05,2,1
32,F,Urbana,Dependiente,29,3145.27,474.0,0,5,4196,36,Agricola,Vehiculo,6247.58,395.68,59.36,1,0
62,F,Rural,Dependiente,22,4675.79,850.0,0,2,51337,48,Agricola,Vehiculo,61461.66,420.6,47.03,3,0
18,M,Urbana,Agricola,8,6771.87,680.0,5,8,37899,24,Agricola,Ninguna,47931.42,425.4,38.29,3,0
42,F,Rural,Dependiente,3,1497.31,850.0,0,0,94270,12,Comercial,Vehiculo,96460.96,410.03,48.47,0,0
24,M,Urbana,Dependiente,4,3221.52,648.0,1,2,77687,48,Consumo,Ninguna,62447.34,404.98,52.59,4,0
26,M,Urbana,Dependiente,8,5444.7,599.0,4,7,140866,12,Comercial,Ninguna,148623.81,410.77,57.77,3,0
41,M,Urbana,Dependiente,12,4846.38,524.0,2,7,25358,24,Consumo,Vehiculo,10424.72,434.13,42.02,3,0
18,F,Rural,Dependiente,9,5468.03,644.0,3,3,34849,24,Agricola,Vehiculo,42143.7,411.32,37.53,3,1
61,F,Urbana,Dependiente,26,3812.55,756.0,5,7,63603,36,Agricola,Ninguna,60352.36,460.64,50.98,2,0
25,F,Urbana,Agricola,15,1920.93,660.0,4,9,120043,12,Agricola,Inmueble,173831.66,400.57,50.79,4,1
41,M,Urbana,Dependiente,29,7174.39,536.0,1,7,90582,60,Comercial,Vehiculo,96467.14,438.85,39.53,0,0
28,F,Urbana,Agricola,12,6234.14,739.0,4,0,9389,60,Comercial,Inmueble,4525.79,376.09,46.02,0,0
68,M,Urbana,Agricola,3,4461.31,755.0,2,2,84061,36,Consumo,Vehiculo,73390.31,400.58,46.29,1,0
34,F,Rural,Independiente,20,3153.34,632.0,5,0,57087,12,Comercial,Ninguna,21087.18,399.59,52.94,2,0
25,M,Urbana,Dependiente,12,3715.09,621.0,4,1,132028,12,Comercial,Inmueble,157709.49,392.4,45.52,4,0
